book,door,section,subject_number,subject_name,description
3,1,1,368,القتل العمد مع سبق الإصرار,كل من قتل نفساً عمداً مع سبق الإصرار على ذلك أو الترصد يعاقب بالإعدام.
3,1,1,369,الإصرار السابق,الإصرار السابق هو القصد المصمم عليه قبل الفعل لارتكاب جريمة ضد أي شخص كان وتدبير الوسائل اللازمة لتنفيذ الفعل تدبيراً دقيقاً.
3,1,1,370,الترصد,الترصد هو تربص الإنسان لشخص في جهة أو جهات كثيرة مدة من الزمن طويلة كانت أو قصيرة ليتوصل إلى قتل ذلك الشخص أو إلى الاعتداء عليه بعمل من أعمال العنف.
3,1,1,371,التسميم,من قتل أحداً عمداً بمواد يتسبب عنها الموت عاجلاً أو آجلاً يعد قاتلاً بالسم أياً كانت كيفية استعمال تلك المواد ويعاقب بالإعدام.
3,1,1,372,القتل عمداً دون سبق الإصرار أو الترصد,من قتل نفساً عمداً من غير سبق إصرار ولا ترصد يعاقب بالسجن المؤبد أو السجن. وإذا وقعت الجريمة ضد الأصول أو الفروع أو الزوج أو الأخ أو الأخت أو كان الدافع لارتكابها أسباباً تافهة أو وضيعة أو ارتكبت بغلظة وتوحش تكون العقوبة السجن المؤبد. ومع ذلك يحكم على فاعل هذه الجناية بالإعدام إذا تقدمتها أو اقترنت بها أو تلتها جناية أخرى، وأما إذا كان القصد منها التأهب لاقتراف جنحة أو تسهيلها أو ارتكابها بالفعل أو مساعدة من ارتكبوا جنحة ما أو شركائهم على الهرب أو التخلص من العقوبة فيحكم بالإعدام أو السجن المؤبد.
3,1,1,373,قتل الوليد صيانة للعرض,يعاقب بالسجن مدة لا تزيد على سبع سنوات كل من قتل حفظاً للعرض طفلاً إثر ولادته مباشرة أو قتل جنيناً أثناء الوضع إذا كان القاتل هو الأم أو أحد ذوي القربى. ويكون عرضة للعقوبة ذاتها كل من اشترك في الفعل وكان قصده الأوحد مساعدة أحد الأشخاص المذكورين في حفظ العرض. وفي سائر الأحوال الأخرى يعاقب من اشترك في الفعل بالسجن مدة لا تزيد على عشر سنوات.
3,1,1,374,الضرب أو الجرح المفضي للموت,كل من جرح أو ضرب أحداً عمداً أو أعطاه مواد ضارة ولم يقصد من ذلك قتلاً ولكنه أفضى إلى الموت، يعاقب بالسجن مدة لا تزيد على عشر سنوات. وأما إذا سبق ذلك إصرار أو ترصد، كانت العقوبة السجن.
3,1,1,375,القتل أو الإيذاء حفظاً للعرض,من فوجئ بمشاهدة زوجته أو بنته أو أخته أو أمه في حالة تلبس بالزنى أو في حالة جماع غير مشروع فقتلها في الحال هي أو شريكها أو هما معاً رداً للإعتداء الماس بشرفه أو شرف أسرته، يعاقب بالحبس. وإذا نتج عن الفعل أذى جسيم أو خطير للمذكورين في الظروف ذاتها فتكون العقوبة الحبس مدة لاتزيد على سنتين. ولا يعاقب على مجرد الضرب أو الإيذاء البسيط في مثل هذه الظروف.
3,1,1,376,التحريض أو المساعدة على الانتحار,كل من حمل غيره على الانتحار أو ساعده على ذلك، ووقع الانتحار فعلاً، يعاقب بالسجن من ثلاث سنوات إلى عشر، وإذا لم يقع الانتحار ونجم عن الشروع فيه أذى خطير أو جسيم فتكون العقوبة الحبس من ثلاثة أشهر إلى سنتين.
3,1,1,377,القتل خطأ,من قتل نفساً خطأ أو تسبب في قتلها بغير قصد ولا تعمد يعاقب بالحبس وبغرامة لا تزيد على مائتي جنيه أو بإحدى هاتين العقوبتين. فإذا ترتب على الفعل موت أكثر من شخص أو كان الجاني متعاطياً مواد مسكرة أو مخدرة كانت العقوبة الحبس مدة لا تقل عن سنة وغرامة لاتتجاوز أربعمائة جنيه أو إحدى هاتين العقوبتين.
3,1,1,378,الضرب,كل من ضرب شخصاً دون أن يسبب له مرضاً يعاقب، بناء على شكوى الطرف المتضرر، بالحبس مدة لا تجاوز شهراً أو بغرامة لا تزيد على خمسة جنيهات.
3,1,1,379,الإيذاء البسيط,يعاقب بالحبس مدة لا تزيد على سنة أو بغرامة لا تجاوز خمسين جنيهاً كل من أحدث بغيره أذى في شخصه أدى إلى مرض. وإذا لم تجاوز مدة المرض عشرة أيام، ولم يتوافر ظرف من الظروف المشددة المنصوص عليها في المادة 382 فلا يعاقب على الجريمة إلا بناء على شكوى الطرف المتضرر.
